data_rebalanceamento,ticker,setor,elegivel_ibrx
2016-09-30,B3SA3.SA,Financeiro / Serviços Financeiros,1
2016-09-30,ITSA4.SA,Financeiro / Holdings Diversificadas,1
2016-09-30,WEGE3.SA,Bens Industriais / Máquinas e Equipamentos,1
2016-09-30,EMBR3.SA,Bens Industriais / Material Aeronáutico,1
2016-09-30,MYPK3.SA,Consumo Cíclico / Autopeças,1
2016-09-30,LREN3.SA,Consumo Cíclico / Comércio Varejista,1
2016-09-30,MGLU3.SA,Consumo Cíclico / Comércio Varejista,1
2016-09-30,ALPA4.SA,Consumo Cíclico / Calçados,1
2016-09-30,GRND3.SA,Consumo Cíclico / Calçados,1
2016-09-30,AMER3.SA,Consumo Cíclico / E-commerce,1
2016-09-30,GOLL4.SA,Bens Industriais / Transporte Aéreo,1
2016-09-30,CVCB3.SA,Consumo Cíclico / Viagens e Lazer,1
2016-09-30,CYRE3.SA,Consumo Cíclico / Construção Civil,1
2016-09-30,EZTC3.SA,Consumo Cíclico / Construção Civil,1
2016-09-30,MRVE3.SA,Consumo Cíclico / Construção Civil,1
2016-09-30,MULT3.SA,Financeiro / Exploração de Imóveis,1
2016-09-30,IGTI11.SA,Financeiro / Exploração de Imóveis,1
2016-09-30,VALE3.SA,Materiais Básicos / Mineração,1
2016-09-30,BRAP4.SA,Materiais Básicos / Mineração,1
2016-09-30,GGBR4.SA,Materiais Básicos / Siderurgia,1
2016-09-30,GOAU4.SA,Materiais Básicos / Siderurgia,1
2016-09-30,CSNA3.SA,Materiais Básicos / Siderurgia,1
2016-09-30,USIM5.SA,Materiais Básicos / Siderurgia,1
2016-09-30,SUZB3.SA,Materiais Básicos / Papel e Celulose,1
2016-09-30,KLBN11.SA,Materiais Básicos / Papel e Celulose,1
2016-09-30,DXCO3.SA,Materiais Básicos / Madeira e Painéis,1
2016-09-30,PETR4.SA,"Petróleo, Gás e Biocombustíveis",1
2016-09-30,PETR3.SA,"Petróleo, Gás e Biocombustíveis",1
2016-09-30,UGPA3.SA,"Petróleo, Gás e Biocombustíveis / Distribuição",1
2016-09-30,CSAN3.SA,"Petróleo, Gás e Biocombustíveis / Açúcar e Álcool",1
2016-09-30,JBSS3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-09-30,BRFS3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-09-30,MRFG3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-09-30,BEEF3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-09-30,PCAR3.SA,Consumo Não Cíclico / Varejo de Alimentos,1
2016-09-30,TOTS3.SA,Tecnologia da Informação / Software,1
2016-09-30,CIEL3.SA,Financeiro / Credenciamento e Pagamentos,1
2016-09-30,COGN3.SA,Consumo Cíclico / Educação,1
2016-09-30,YDUQ3.SA,Consumo Cíclico / Educação,1
2016-09-30,RENT3.SA,Consumo Cíclico / Aluguel de Veículos,1
2016-12-31,EGIE3.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,CPFE3.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,TAEE11.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,TRPL4.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,EQTL3.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,ENGI11.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,SBSP3.SA,Utilidade Pública / Água e Saneamento,1
2016-12-31,CMIG4.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,CPLE6.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,ELET3.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,ELET6.SA,Utilidade Pública / Energia Elétrica,1
2016-12-31,CCRO3.SA,Bens Industriais / Transporte e Concessões,1
2016-12-31,ECOR3.SA,Bens Industriais / Transporte e Concessões,1
2016-12-31,RAIL3.SA,Bens Industriais / Transporte Ferroviário,1
2016-12-31,VIVT3.SA,Telecomunicações,1
2016-12-31,TIMS3.SA,Telecomunicações,1
2016-12-31,ABEV3.SA,Consumo Não Cíclico / Bebidas,1
2016-12-31,MDIA3.SA,Consumo Não Cíclico / Alimentos,1
2016-12-31,RADL3.SA,Saúde / Comércio Farmacêutico,1
2016-12-31,FLRY3.SA,Saúde / Medicina Diagnóstica,1
2016-12-31,HYPE3.SA,Saúde / Produtos Farmacêuticos,1
2016-12-31,BBSE3.SA,Financeiro / Previdência e Seguros,1
2016-12-31,PSSA3.SA,Financeiro / Seguros,1
2016-12-31,ITUB4.SA,Financeiro / Intermediários Financeiros,1
2016-12-31,BBDC4.SA,Financeiro / Intermediários Financeiros,1
2016-12-31,BBDC3.SA,Financeiro / Intermediários Financeiros,1
2016-12-31,BBAS3.SA,Financeiro / Intermediários Financeiros,1
2016-12-31,SANB11.SA,Financeiro / Intermediários Financeiros,1
2016-12-31,B3SA3.SA,Financeiro / Serviços Financeiros,1
2016-12-31,ITSA4.SA,Financeiro / Holdings Diversificadas,1
2016-12-31,WEGE3.SA,Bens Industriais / Máquinas e Equipamentos,1
2016-12-31,EMBR3.SA,Bens Industriais / Material Aeronáutico,1
2016-12-31,MYPK3.SA,Consumo Cíclico / Autopeças,1
2016-12-31,LREN3.SA,Consumo Cíclico / Comércio Varejista,1
2016-12-31,MGLU3.SA,Consumo Cíclico / Comércio Varejista,1
2016-12-31,ALPA4.SA,Consumo Cíclico / Calçados,1
2016-12-31,GRND3.SA,Consumo Cíclico / Calçados,1
2016-12-31,AMER3.SA,Consumo Cíclico / E-commerce,1
2016-12-31,GOLL4.SA,Bens Industriais / Transporte Aéreo,1
2016-12-31,CVCB3.SA,Consumo Cíclico / Viagens e Lazer,1
2016-12-31,CYRE3.SA,Consumo Cíclico / Construção Civil,1
2016-12-31,EZTC3.SA,Consumo Cíclico / Construção Civil,1
2016-12-31,MRVE3.SA,Consumo Cíclico / Construção Civil,1
2016-12-31,MULT3.SA,Financeiro / Exploração de Imóveis,1
2016-12-31,IGTI11.SA,Financeiro / Exploração de Imóveis,1
2016-12-31,VALE3.SA,Materiais Básicos / Mineração,1
2016-12-31,BRAP4.SA,Materiais Básicos / Mineração,1
2016-12-31,GGBR4.SA,Materiais Básicos / Siderurgia,1
2016-12-31,GOAU4.SA,Materiais Básicos / Siderurgia,1
2016-12-31,CSNA3.SA,Materiais Básicos / Siderurgia,1
2016-12-31,USIM5.SA,Materiais Básicos / Siderurgia,1
2016-12-31,SUZB3.SA,Materiais Básicos / Papel e Celulose,1
2016-12-31,KLBN11.SA,Materiais Básicos / Papel e Celulose,1
2016-12-31,DXCO3.SA,Materiais Básicos / Madeira e Painéis,1
2016-12-31,PETR4.SA,"Petróleo, Gás e Biocombustíveis",1
2016-12-31,PETR3.SA,"Petróleo, Gás e Biocombustíveis",1
2016-12-31,UGPA3.SA,"Petróleo, Gás e Biocombustíveis / Distribuição",1
2016-12-31,CSAN3.SA,"Petróleo, Gás e Biocombustíveis / Açúcar e Álcool",1
2016-12-31,JBSS3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-12-31,BRFS3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-12-31,MRFG3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-12-31,BEEF3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2016-12-31,PCAR3.SA,Consumo Não Cíclico / Varejo de Alimentos,1
2016-12-31,TOTS3.SA,Tecnologia da Informação / Software,1
2016-12-31,CIEL3.SA,Financeiro / Credenciamento e Pagamentos,1
2016-12-31,COGN3.SA,Consumo Cíclico / Educação,1
2016-12-31,YDUQ3.SA,Consumo Cíclico / Educação,1
2016-12-31,RENT3.SA,Consumo Cíclico / Aluguel de Veículos,1
2017-03-31,EGIE3.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,CPFE3.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,TAEE11.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,TRPL4.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,EQTL3.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,ENGI11.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,SBSP3.SA,Utilidade Pública / Água e Saneamento,1
2017-03-31,CMIG4.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,CPLE6.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,ALUP11.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,ELET3.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,ELET6.SA,Utilidade Pública / Energia Elétrica,1
2017-03-31,CSMG3.SA,Utilidade Pública / Água e Saneamento,1
2017-03-31,CCRO3.SA,Bens Industriais / Transporte e Concessões,1
2017-03-31,ECOR3.SA,Bens Industriais / Transporte e Concessões,1
2017-03-31,RAIL3.SA,Bens Industriais / Transporte Ferroviário,1
2017-03-31,VIVT3.SA,Telecomunicações,1
2017-03-31,TIMS3.SA,Telecomunicações,1
2017-03-31,ABEV3.SA,Consumo Não Cíclico / Bebidas,1
2017-03-31,MDIA3.SA,Consumo Não Cíclico / Alimentos,1
2017-03-31,RADL3.SA,Saúde / Comércio Farmacêutico,1
2017-03-31,FLRY3.SA,Saúde / Medicina Diagnóstica,1
2017-03-31,HYPE3.SA,Saúde / Produtos Farmacêuticos,1
2017-03-31,BBSE3.SA,Financeiro / Previdência e Seguros,1
2017-03-31,PSSA3.SA,Financeiro / Seguros,1
2017-03-31,ITUB4.SA,Financeiro / Intermediários Financeiros,1
2017-03-31,BBDC4.SA,Financeiro / Intermediários Financeiros,1
2017-03-31,BBDC3.SA,Financeiro / Intermediários Financeiros,1
2017-03-31,BBAS3.SA,Financeiro / Intermediários Financeiros,1
2017-03-31,SANB11.SA,Financeiro / Intermediários Financeiros,1
2017-03-31,B3SA3.SA,Financeiro / Serviços Financeiros,1
2017-03-31,ITSA4.SA,Financeiro / Holdings Diversificadas,1
2017-03-31,WEGE3.SA,Bens Industriais / Máquinas e Equipamentos,1
2017-03-31,EMBR3.SA,Bens Industriais / Material Aeronáutico,1
2017-03-31,TUPY3.SA,Bens Industriais / Metalurgia,1
2017-03-31,MYPK3.SA,Consumo Cíclico / Autopeças,1
2017-03-31,LREN3.SA,Consumo Cíclico / Comércio Varejista,1
2017-03-31,MGLU3.SA,Consumo Cíclico / Comércio Varejista,1
2017-03-31,ARZZ3.SA,Consumo Cíclico / Vestuário e Calçados,1
2017-03-31,ALPA4.SA,Consumo Cíclico / Calçados,1
2017-03-31,GRND3.SA,Consumo Cíclico / Calçados,1
2017-03-31,GUAR3.SA,Consumo Cíclico / Varejo de Moda,1
2017-03-31,AMER3.SA,Consumo Cíclico / E-commerce,1
2017-03-31,AZUL4.SA,Bens Industriais / Transporte Aéreo,1
2017-03-31,GOLL4.SA,Bens Industriais / Transporte Aéreo,1
2017-03-31,CVCB3.SA,Consumo Cíclico / Viagens e Lazer,1
2017-03-31,CYRE3.SA,Consumo Cíclico / Construção Civil,1
2017-03-31,EZTC3.SA,Consumo Cíclico / Construção Civil,1
2017-03-31,MRVE3.SA,Consumo Cíclico / Construção Civil,1
2017-03-31,MULT3.SA,Financeiro / Exploração de Imóveis,1
2017-03-31,IGTI11.SA,Financeiro / Exploração de Imóveis,1
2017-03-31,VALE3.SA,Materiais Básicos / Mineração,1
2017-03-31,BRAP4.SA,Materiais Básicos / Mineração,1
2017-03-31,GGBR4.SA,Materiais Básicos / Siderurgia,1
2017-03-31,GOAU4.SA,Materiais Básicos / Siderurgia,1
2017-03-31,CSNA3.SA,Materiais Básicos / Siderurgia,1
2017-03-31,USIM5.SA,Materiais Básicos / Siderurgia,1
2017-03-31,SUZB3.SA,Materiais Básicos / Papel e Celulose,1
2017-03-31,KLBN11.SA,Materiais Básicos / Papel e Celulose,1
2017-03-31,DXCO3.SA,Materiais Básicos / Madeira e Painéis,1
2017-03-31,PETR4.SA,"Petróleo, Gás e Biocombustíveis",1
2017-03-31,PETR3.SA,"Petróleo, Gás e Biocombustíveis",1
2017-03-31,UGPA3.SA,"Petróleo, Gás e Biocombustíveis / Distribuição",1
2017-03-31,CSAN3.SA,"Petróleo, Gás e Biocombustíveis / Açúcar e Álcool",1
2017-03-31,SMTO3.SA,"Petróleo, Gás e Biocombustíveis / Açúcar e Álcool",1
2017-03-31,JBSS3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2017-03-31,BRFS3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2017-03-31,MRFG3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2017-03-31,BEEF3.SA,Consumo Não Cíclico / Carnes e Derivados,1
2017-03-31,SLCE3.SA,Consumo Não Cíclico / Agricultura,1
2017-03-31,CRFB3.SA,Consumo Não Cíclico / Varejo de Alimentos,1
2017-03-31,PCAR3.SA,Consumo Não Cíclico / Varejo de Alimentos,1
2017-03-31,TOTS3.SA,Tecnologia da Informação / Software,1
2017-03-31,CIEL3.SA,Financeiro / Credenciamento e Pagamentos,1
2017-03-31,COGN3.SA,Consumo Cíclico / Educação,1
2017-03-31,YDUQ3.SA,Consumo Cíclico / Educação,1
2017-03-31,SEER3.SA,Consumo Cíclico / Educação,1
2017-03-31,RENT3.SA,Consumo Cíclico / Aluguel de Veículos,1
2017-03-31,MOVI3.SA,Consumo Cíclico / Aluguel de Veículos,1
2017-03-31,IRBR3.SA,Financeiro / Resseguros,1
2017-06-30,EGIE3.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,CPFE3.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,TAEE11.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,TRPL4.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,EQTL3.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,ENGI11.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,SBSP3.SA,Utilidade Pública / Água e Saneamento,1
2017-06-30,CMIG4.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,CPLE6.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,ALUP11.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,ELET3.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,ELET6.SA,Utilidade Pública / Energia Elétrica,1
2017-06-30,CSMG3.SA,Utilidade Pública / Água e Saneamento,1
2017-06-30,CCRO3.SA,Bens Industriais / Transporte e Concessões,1
2017-06-30,ECOR3.SA,Bens Industriais / Transporte e Concessões,1
2017-06-30,RAIL3.SA,Bens Industriais / Transporte Ferroviário,1
2017-06-30,VIVT3.SA,Telecomunicações,1
2017-06-30,TIMS3.SA,Telecomunicações,1
2017-06-30,ABEV3.SA,Consumo Não Cíclico / Bebidas,1
2017-06-30,MDIA3.SA,Consumo Não Cíclico / Alimentos,1
2017-06-30,RADL3.SA,Saúde / Comércio Farmacêutico,1
2017-06-30,FLRY3.SA,Saúde / Medicina Diagnóstica,1
2017-06-30,HYPE3.SA,Saúde / Produtos Farmacêuticos,1
2017-06-30,BBSE3.SA,Financeiro / Previdência e Seguros,1
2017-06-30,PSSA3.SA,Financeiro / Seguros,1
2017-06-30,ITUB4.SA,Financeiro / Intermediários Financeiros,1
2017-06-30,BBDC4.SA,Financeiro / Intermediários Financeiros,1
2017-06-30,BBDC3.SA,Financeiro / Intermediários Financeiros,1
2017-06-30,BBAS3.SA,Financeiro / Intermediários Financeiros,1
2017-06-30,SANB11.SA,Financeiro / Intermediários Financeiros,1
2017-06-30,B3SA3.SA,Financeiro / Serviços Financeiros,1
2017-06-30,ITSA4.SA,Financeiro / Holdings Diversificadas,1
2017-06-30,WEGE3.SA,Bens Industriais / Máquinas e Equipamentos,1
2017-06-30,EMBR3.SA,Bens Industriais / Material Aeronáutico,1
2017-06-30,TUPY3.SA,Bens Industriais / Metalurgia,1
2017-06-30,MYPK3.SA,Consumo Cíclico / Autopeças,1
2017-06-30,LREN3.SA,Consumo Cíclico / Comércio Varejista,1
2017-06-30,MGLU3.SA,Consumo Cíclico / Comércio Varejista,1
2017-06-30,ARZZ3.SA,Consumo Cíclico / Vestuário e Calçados,1
2017-06-30,ALPA4.SA,Consumo Cíclico / Calçados,1
2017-06-30,GRND3.SA,Consumo Cíclico / Calçados,1
